78 
2 3 
2 200 
6 243 
10 37 
11 15 
17 23 
17 144 
17 227 
19 15 
19 26 
19 114 
23 213 
26 42 
27 178 
29 159 
31 85 
35 121 
35 191 
41 199 
43 85 
57 76 
59 128 
63 216 
66 67 
67 64 
67 132 
67 230 
70 144 
70 220 
75 79 
79 160 
79 189 
85 121 
88 228 
89 103 
94 100 
100 150 
103 141 
103 231 
105 195 
105 221 
107 136 
107 201 
114 139 
114 230 
119 243 
121 83 
122 228 
123 71 
123 184 
127 207 
133 230 
136 230 
145 179 
167 240 
170 212 
173 192 
176 42 
176 197 
188 192 
188 218 
190 87 
193 203 
212 228 
213 245 
214 233 
214 236 
215 217 
224 229 
227 39 
228 144 
232 244 
233 235 
234 238 
1 0 44 
2 18 22 
2 18 26 
2 125 22 
4 14 209 
4 7 124 
4 7 209 
4 94 12 
4 121 142 
4 133 209 
5 13 12 
6 108 216 
6 55 133 
8 130 183 
8 66 183 
10 29 33 
11 29 17 
11 22 167 
12 178 13 
17 29 63 
17 106 239 
18 127 23 
21 99 91 
21 31 152 
21 63 39 
22 125 84 
22 167 84 
23 27 45 
23 79 167 
23 130 137 
24 66 184 
25 126 26 
29 31 63 
29 33 35 
33 39 38 
33 43 51 
33 131 80 
37 58 167 
40 46 41 
40 186 41 
41 3 15 
41 3 243 
41 46 187 
44 42 103 
44 0 149 
44 48 49 
44 82 92 
44 226 103 
45 79 49 
46 47 84 
48 222 212 
48 222 223 
48 49 223 
48 68 116 
49 79 77 
49 79 227 
52 126 134 
52 134 197 
66 182 183 
69 70 72 
70 122 72 
70 122 74 
70 122 241 
72 122 162 
75 145 157 
77 79 167 
79 81 87 
79 227 243 
80 120 100 
80 98 100 
81 137 106 
81 202 106 
82 83 94 
82 83 143 
84 125 204 
84 167 204 
88 104 106 
88 106 137 
91 99 97 
92 166 227 
93 143 39 
93 143 128 
96 106 90 
97 128 99 
97 128 138 
100 120 122 
101 202 221 
102 226 103 
103 113 109 
104 188 185 
108 114 214 
109 213 215 
111 110 153 
111 71 153 
113 65 217 
113 114 64 
113 119 245 
113 188 185 
113 202 151 
113 204 134 
118 168 119 
118 215 216 
124 128 126 
124 125 138 
124 222 225 
130 136 137 
130 160 137 
131 16 161 
132 128 136 
138 158 239 
158 62 180 
158 146 147 
163 203 164 
164 203 205 
168 188 171 
171 188 205 
177 187 178 
187 218 226 
189 207 224 
190 192 193 
190 192 198 
190 206 198 
192 151 65 
192 198 202 
211 213 215 
211 223 222 
214 216 215 
220 224 222 
220 224 228 
230 236 237 
231 237 236 
231 237 241 
231 239 241 
231 239 245 
238 240 242 
239 241 181 
239 241 243 
135 106 185 90 
135 166 42 16 
4 14 10 29 
4 82 86 94 
4 82 86 133 
4 82 86 142 
5 13 83 82 
5 13 83 84 
5 13 83 128 
6 7 126 124 
6 7 126 209 
8 52 134 160 
8 66 9 24 
8 66 9 160 
8 66 58 160 
8 134 22 160 
9 130 136 145 
10 20 24 18 
10 20 47 18 
10 20 47 28 
10 11 179 12 
10 11 179 29 
10 12 178 179 
12 178 14 127 
12 178 179 182 
12 96 13 208 
12 126 127 208 
13 15 98 128 
13 40 175 174 
13 185 87 175 
14 127 99 209 
18 22 167 23 
18 26 126 136 
18 127 126 208 
21 99 39 23 
21 31 63 141 
22 98 23 99 
22 98 99 208 
22 126 208 134 
22 167 23 99 
23 99 39 93 
23 99 39 98 
23 99 167 92 
23 27 25 137 
23 64 148 133 
23 79 45 81 
23 102 92 45 
24 98 80 74 
24 34 80 74 
24 55 80 120 
24 120 74 80 
25 137 26 27 
25 92 127 126 
25 170 144 172 
26 136 27 137 
31 146 147 126 
31 146 147 152 
32 34 80 33 
32 34 80 74 
32 95 30 87 
35 40 180 197 
36 16 166 42 
37 89 166 167 
40 197 3 180 
41 49 186 218 
43 42 44 45 
43 42 44 51 
43 42 44 152 
43 42 150 152 
44 42 71 166 
44 42 167 166 
44 49 45 92 
44 49 45 218 
44 92 166 167 
44 157 71 166 
44 157 226 166 
44 218 166 219 
44 218 166 226 
